project;plan
stop_admin;"This module is Drupal 9 ready."
file_mime_validator;Enjoy!
domain_fields_visualization;Processing...
address_md;"This module is Drupal 9 ready."
file_details;"D9 Compatible"
view_mode_selector_field;"This module is fully compatible with Drupal 9."
autoservices;"Compatible with Drupal 9"
fontawesome_route_icons;"Drupal 9 ready"
search_api_meilisearch;"Working with Drupal 9 since the initial release."
addtocal_augment;"This module was built to support Drupal 9. Please file an issue if you encounter any problems with Drupal 8!"
freeagent;"This module is Drupal 9 compatible."
entity_share_websub;"Drupal 9 ready"
bim_gdpr;"bim-GDPR supports Drupal 9"
crypto_widget;"This module is already fully compatible with Drupal 9"
entity_inherit;"<p>This project is certified Drupal 9 ready.</p>"
custom_admin_menu;"Custom Admin Menu supports Drupal 9"
domain_route_redirect;"This module should in principle work with D9 but it has not been tested yet."
gin_gutenberg;"Works with Drupal 9 out of the box"
civic_job_posting;"This module is compatible with drupal 9."
bootstrap_block_italia;"The module is compatible with Drupal 9 thanks to the <a href=""https://www.drupal.org/project/bootstrap_block_italia/issues/3212617"">https://www.drupal.org/project/bootstrap_block_italia/issues/3212617</a>."
cmrf_form_processor;"This module is Drupal 9 ready."
helloworld_rest;[#3082519]
commerce_nz;"This project is D9 Ready."
l10n_tools;"This module works with Drupal 9 :)"
migrate_destination_field_value;"Drupal 9 ready"
novaposhta_tracking;"This module has been updated to work with the store on Drupal 9."
commerce_promo_link;"This module is ready for Drupal 9."
openweathermap;"The module is ready for Drupal 9."
change_requests;"Requires Drupal core ^8 || ^9"
ndb;"Netlify Deploy Button 8.x-1.0 supports Drupal 9."
classitup;"This module is fully compatible with Drupal 9."
colofilters;"D9 readiness issue [#3139919]  The issue is now committed, use the latest release tag."
update_worker;"This module is 100% compatible with Drupal 9."
commerce_omnikassa;"This module is D9 compatible."
next_views_entity_reference;"Works with Drupal 9"
youtube_plus;"This module is already fully compatible with Drupal 9!"
campaign_kit;"Can be used on Drupal 9 today but requires some patches for contributed modules that we have submitted to the module maintainers. Once those patches are merged into the modules, CK can be used on Drupal 9 without the extra bother."
backfill_formatter;"Please use the issue queue to report issues."
moderation_state_columns;"8.x-1.x-dev is Drupal 9 compatible."
libravatar;"This project is ready for Drupal 9"
openbusiness;"OpenBusiness 1.3 is now compatible with Drupal 9!"
moderation_state_sync;"8.x-1.x is Drupal 9 compatible."
revue;"Revue >= 8.x-1.1 is Drupal 9 compatible."
do_username;"The latest 8.x-1.x release is compatible with Drupal 9."
seaside_admin_toolbar;"This is module is Drupal 9 ready!"
vbo_add_to_wishlist;"Currently, it is in active development phase. it will be available very soon for D9."
media_fotoweb;"The module is Drupal 9 compatible."
token_in_config;"This module is ready for Drupal 9"
cookies_services;"Drupal 9 is supported."
http_client_retry;"This module is Drupal 9 compatible."
webcomponents;"Works now"
commerce_stripe_ideal;"Drupal 9 supported by default on release of D8 version"
instagram_formatter;"This module is ready for Drupal 9"
auto_recommended_tags;"<strong><a href=""https://www.drupal.org/project/issues/search/auto_recommended_tags?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
inotherwords;"Avoiding deprecated functions, should be ready to go."
sku_prefix_promotion_condition;"This module is compatible with Drupal 9 from version 2.0.0"
cache_utility;"Cache Utility module works with Drupal 8 & 9."
commerce_recurring_metered;"Drupal 9 readiness issue: [#3128960]"
image_canvas_editor_api;"This module has no known issues with Drupal 9."
axeptio;"This module is ready for Drupal 9."
oauth2_rs;"Drupal 9 porting issue #3196096"
bootstrap_govbr;"Theme is compatible with Drupal 9"
unlock;"No known deprecations to address."
config_pages_overrides;"Currently up to date for Drupal 9"
commerce_yandex_kassa;"Ready to be used"
bootstrap_extras;"This is a Drupal 9 Native module"
commerce_gocardless;[#3083960]
cjk_tokenizer;"It already works for D9"
viewportchecker;"8.x-1.4+ is Drupal 9 compatible."
private_dns;"This module is written on Drupal 9"
drush9_batch_processing;[#3083225]
webform_mattermost;"Compatible with Drupal 9."
gfpn4nodes;"This module is Drupal 9 ready."
ckeditor_csvtable;"This module is Drupal 9 ready."
bootstrap_pages;"This module currently has no known compatibility issues, and is aiming for a release together with Drupal 9."
lwm;"* Fully compatible with Drupal 9"
entity_view_mode_normalize;"Entity View Mode Normalize supports Drupal 9. Enjoy."
overseer;"This module is Drupal 9 ready."
webtheme;"<strong>Drupal 9 ready</strong>"
composer_dependency_tree;"This project is Drupal 9 compatible!"
advance_field_attributes;"This module also works with D9"
consistent_breadcrumbs;"D9 ready."
propellerads;"Made the Drupal 8 version. Further will do the Drupal 9 version."
pagecss;"Will be ported to Drupal 9 by end of 2019."
projects_stats;"This module is Drupal 9 ready."
behance_block;"This module is Drupal 9 ready."
patternkit;"Drupal 8 and Drupal 9 versions will be kept in parity until the 1.0 release, after which Drupal 8 1.0 will be marked LTS and new development will happen in the Drupal 9 branch."
condition_pack;"Drupal 9 ready."
bee_hotel;"BEE_HOTEL runs fine on Drupal 9"
minesweeper;"This project is now ready for Drupal 9!"
upload_image_changer;"Drupal 9 is supported!"
bisnode;"Fully supported: [#3138097]"
devel_snippet;"<a href=""https://www.drupal.org/project/devel_snippet/issues/3103474"">#3103474: Add new key core_version_requirement in devel_snippet.info.yml</a>"
veracruz_content;"If realistic_dummy_content create a drupal 9 version. We will get a port to this module."
sis;"8.x-1.0-alpha2+ is Drupal 9 compatible."
studentsdbexample;[#3119081]
stackla_widget;"The module is compatible with Drupal 9"
commerce_custom_shipping_by_weight;"I plan on testing this with Drupal 9 before tagging a 1.0 version."
api_connection;"Drupal 9 compatible"
landing_page_scheduler;"This module is already fully compatible with Drupal 9"
entity_recycle;"This module is Drupal 9 ready."
entity_taxonomy;"Drupal 9 also support this module"
s_r_c_html5_validation;"Select Radio Checkbox Field HTML 5 Validation is fully compatible with Drupal 9!"
search_api_solr_nlp;"Drupal 9 is fully supported!"
chat_nodejs;"This module is ready for Drupal 9."
der_extra;"This module is Drupal 9 compatible."
service_comment_count;"The module is Drupal 9 compatible."
change_labels;"Drupal 9 ready"
epositivity;"This module is compatible with D9 https://www.drupal.org/project/epositivity/issues/3152171"
entity_visibility_preview;"The module is compatible with Drupal 9 starting from version 8.x-1.4."
adminrss;"Version 8.x-1.0 is compatible with Drupal 9.0"
external_link_change;"External link change 8.x-1.x-dev supports Drupal 9. Enjoy."
exposed_filter_data;"<h3>Drupal 8/9</h3> Development is currently under way for the Drupal 8/9 port that will provide similar functionality as the Drupal 7 module. However, rather than a PHP function, the Drupal 8/9 version will provide a block that can be placed anywhere, including the header of a view. You can follow along with the development, ask questions, or contribute in <a href=""https://www.drupal.org/project/issues/exposed_filter_data?text=&status=All&priorities=All&categories=All&version=8.x&component=All"">the issue queue</a>."
extlog;"This module <a href=""https://www.drupal.org/project/extlog/releases/8.x-1.4"">8.x-1.4</a> release is already fully compatible with Drupal 9!"
views_numeric_range_filter;"Compatible with Drupal 9"
twofactor;"D9 ready"
simplenews_mailjet_subscriptions;"This project is Drupal 9 ready."
exportable_controllers;"Developed with Drupal 9."
mpbx;"<em><strong>Available for Drupal 9!</strong></em>"
entity_ref_filtering_link;"Drupal 9 Compatible"
qb_chantilly;"Currently, we have no plans to port this theme to Drupal 9"
php_runtime_memory;"Drupal 9 compatibility"
pwa_firebase;"It will port to drupal 9 very soon"
qwebirc;"This module is compatible with Drupal 9"
editor_images_ext;"This module is ready for Drupal 9."
drupalorg_links;"Fully supported as of v8.x-1.1."
gmessentials;"No porting it is required, this module it is very simple."
cloud;"<a href=""https://www.drupal.org/project/cloud/issues/3071859"" title=""Fix Drupal 9 code deprecation"">Issue #3071859: Drupal 9 code deprecation / readiness / compatibility</a>"
browser_refresh;"This project is ready for Drupal 9"
ukstyle;Ready
concentration_game;"This module should work with D9. Not tested though."
commerce_store_gateways;"Drupal 9 compatible."
group_purl;"This project is ready for Drupal 9!"
tellstick;"Beta2 has been tested with <a href=""https://www.drupal.org/project/upgrade_status"" title=""Upgrade Status"">Upgrade Status</a> for Drupal 9."
component_schema;"Component Schema is compatible with Drupal 9."
content_packager;"Drupal 9 is fully supported."
szentirashu_formatter;"Module is ready for Drupal 9."
configurable_theme_libraries;"8.x-1.2+ is Drupal 9 compatible."
confq_cfp;"Drupal 9 compatible."
processing;"Postponed pending investigation of p5.js compatibility."
performance_budget;"This module supports Drupal 9. Work completed in [#3106206] and [#3071680]"
commerce_bpost;"The module is ready for Drupal 9."
theme_selector;"This project is Drupal 9 ready."
uc_payumoney;"It depended on <a href=""https://www.drupal.org/project/ubercart"" title=""UberCart"">UberCart</a> so we will wait till <a href=""https://www.drupal.org/project/ubercart"" title=""UberCart"">UberCart</a> release for Drupal 9"
varbase_reports;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_reports?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
theme_by_author;"Ready for Drupal 9 :-)"
substr_formatter;"Shouldn't be any issues."
commerce_payment_vismapay;"This module is compatible with Drupal 9.0.0"
email_octopus;"Supports Drupal 9, Enjoy!"
whitelabel;"This module should be fully compatible with Drupal 9."
cakephpass;"Compatible since 8.x-1.2 release"
thousandtok;"Compatible for D9!"
google_standout;"Google Standout Tag 8.x-1.x supports Drupal 9. Enjoy."
imagecroper;"This module is fully compatible with Drupal 9!"
bulk_invite;"This module is Drupal 9 ready: [#3070762]"
bulma_components;"Bulma Components is compatible with Drupal 9."
personified;"This module is Drupal 9 compatible."
county;"This module is compatible with Drupal 9."
notify_to_slack;"Send Notification to Slack 8.x-2.0 support Drupal 9."
tribute_cards;"This module works with Drupal 9."
block_entity_form;"Drupal 9 READY."
image_moderate;"Dev.-Version from June 8th 2020  and later are Drupal 9 compatible!"
rel_attributes_filter;"This module is already fully compatible with Drupal 9"
autoupdate;"This module is Drupal 9 ready."
trackmyadmin;"This Module is Compatible with Drupal 9"
youtrack;"This project is ready for Drupal 9"
sponsor;"the 1.0 version is compatible with Drupal 9."
tugboat;"This is released in 8.x-4.0-alpha1"
token_tags;"1.0.0 is Drupal 9 compatible."
webtest;"<strong>Drupal 9 ready</strong>"
webform_sf_demanager;"Not yet."
songkick;"The module is Drupal 9 compatible"
synvisio;"Drupal 9 version of SynVisio module not planned yet."
virustotal;"Module versions from <strong>8.x-1.2+</strong> are Drupal Core <strong>8.8.*+</strong> compatible Module versions till <strong>8.x-1.1</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong> <strong>Releases:</strong> https://www.drupal.org/project/virustotal/releases"
tensorflow;"Drupal 9 supported."
wordscramble;"This module works with D9."
testpro;"Will support in Drupal 9 as well"
ui_patterns_blocks;"D9 compatible."
webdev;"<strong>Ready for Drupal 9.</strong>"
symfony_validator_translator;"This project will be ported to Drupal 9 soon."
workflows_mbv;"<strong>Workflows Moderation Basic View</strong> supports Drupal 9."
xatkit;"Drupal 9 compatible."
taxonomy_bulk_actions;"This project is Drupal 9 compatible."
usajobs;"Currently porting the module to Drupal 9"
vspfo;"This module is ready for Drupal 9."
user_info_widget;"This module is Drupal 9 ready."
views_exposed_groups;"Help port this project to Drupal 8.8 or greater at [#3154672]"
user_guide;"This project is not a module, and does not need to be ported to Drupal 9."
tmgmt_content_moderation;"Is Drupal 9 compatible"
vertical_image_scrolling;NA
tinglejs;"This Module is Drupal 8 / 9 compatible."
timezone_calculator;"This module is Drupal9 Compatible."
video_embed_vidme;"Video Embed Vidme 8.x-1.1+ supports Drupal 9. Enjoy."
tmgmt_yandex_api;"Drupal 9 ready"
tns_gallup;"This module is ready for Drupal 9."
tmgmt_plunet;"Drupal 9 compatible."
static_root_page;"2019-07-31: No drupal-check errors in this module"
twig_n2w;"This module also works on Drupal9."
tmgmt_motaword;"Our module is compatible with Drupal 8.x and 9.x."
uc_edit_order_attributes;"No current plan, but we just got this one done!"
widencollective_filefield;"This module is compatible with Drupal 9."
tidy_html;"This module is ready for Drupal 9!"
thumbor_effects_crop;"8.x-1.0+ is Drupal 9 compatible."
thumbor_effects;"8.x-1.5+ is Drupal 9 compatible."
vright;"Fully ported to Drupal 9"
domain_exception;"In progress in development"
drip_webform_handler;"D9 ready!"
dropfort_update;"Drupal 9 is being worked on."
dfinance;"Development will switch from Drupal 8 to Drupal 9 on release, first full release of Drupal Finance expected to be a Drupal 9 release."
dhtml_menu;[3091317]
differential_serve;"This module is compatible with Drupal 9."
drush_blackfire;"I'm committed to supporting this with Drupal 9. There is no ""Drupal"" code in this module so it mostly needs to be tested and requirements updated so it runs in Drush 10."
denormalized_webform_filters;"It's Drupal 9 compatible."
convert_entity_media_embed;"This module is Drupal 9 compatible."
crawlers_cache_context;"This module is currently fully compatible with Drupal 9"
contextly;"Our aim is to maintain the 8.x branch without any deprecated code, so that it is usable with Drupal 9 without any issues."
congruency;"This module is currently only used with D9."
contactmap;[#3125089]
content_moderation_menu;"Under review"
content_remote_options;"Compatible with D9"
danse_label_override;"This module should be good for Drupal 9 sites. I'll be testing that soon, but haven't gotten there yet."
datamaps;"I pledge this module will be written D9 compatability in mind from scratch."
dbb;"done in part"
default_content_access;"This project is ready for Drupal 9"
cron_timing;"<a href=""https://www.drupal.org/project/cron_timing/releases/1.0.0"">1.0.0</a> is Drupal 9 compatible."
crownpeak_autofix;"Supports Drupal 9"
cs_adaptive_image;[#3140131]
fills;"We will do a drupal 9 port of it when bootstrap barrio create a drupal 9 version."
feeds_dm;"Currently supported on Drupal 9.x"
fieldable_panels_panes;"Will be supported in the 1.0.x as a migration path to core blocks."
farmos_wfs;"Complete. farmOS 2.x (Drupal 9) releases can be found on <a href=""https://packagist.org/packages/symbioquine/farmos_wfs"">Packagist</a> and are installable via Composer."
g2;"Testable dev version in the 8.x-1.x branch."
g2_reviews;"Drupal 9 ready."
flysystem_azure;"This works with Drupal 9 out of the box."
fontawesome_icon;"Use this project instead: <a href=""https://www.drupal.org/project/fontawesome"" title=""Font Awesome Icon"">Font Awesome Icon</a>."
forum_field;"Works, build with Drupal 9."
entity_sync;"We have not reviewed the code with Drupal 9 in mind yet, however, the module is fully written in modern OOP PHP and we don't expect major issues. Follow and contribute to the <a href=""https://www.drupal.org/project/entity_sync/issues/3161127"">Drupal 9 compatibility</a> issue."
entity_copy_reference;"This Project is being worked towards Drupal 9 readiness"
entity_fallback_value;"This module fully supports Drupal 9"
extended_container;"This project will be ported to Drupal 9 soon."
ezcontent_api;"Help port this project at [#3128795]"
ezcontent_publish;"This module is Drupal9 ready."
ez_drupalsettings;"I believe it works with Drupal 9 but may need some syntactical clean-up."
eventer;"Working, It may require a clear cache."
events_seats_field;"This module is developed with Drupal 8.8.1+"
eway_commerce2;"This module works with Drupal 9 and Commerce2 out-of-the-box."
config_tweak;"Config Tweak is Drupal 9 compatible."
bible_companion;"This module is working fully in Drupal 9"
back_office_access_restriction;"This module is ready for Drupal 9."
bankid_oidc;"Built to support Drupal 8 and Drupal 9"
bui_to_webp;"Compatible with Drupal 9"
bulk_update_title_node;"This module supports Drupal 9."
brickset_connect;"Branch 2.0.x should be D9 compatible."
broadstreet_ads;"Drupal 8 and 9 are supported with the v2 releases."
admin_user_path;"This module is compatible with Drupal 9."
aframe_extra;"D9 ready - But aframe main module (dependency) is not ready!"
address_lu;"This module is Drupal 9 ready."
accessibility_filter;"Drupal 9 compatible"
arrival_message;"Drupal 9 compatible."
aspect_ratio_validation;"Core compatibility: ^8.8 || ^9"
auth_entity_access;"Fully supported as of 8.x-1.0-beta2."
authman;"Fully compatible with Drupal 8 and 9"
authman_github;"Compatible with Drupal 8 / 9"
authman_google;"Compatible with Drupal 8 / 9"
authman_microsoft;"Compatible with Drupal 8 / 9"
authman_twitch;"Compatible with Drupal 8 / 9"
all_entity_preview;"Compatible with Drupal 9."
api_docs;"Will be ported soon"
api_redoc_document;"Ported to D9"
api_response_check;"8.x-1.0 is Drupal 9 compatible."
commerce_peach;"There is no Drupal 9 version as of yet."
commerce_paykings;"<h2>Drupal 9 Compatibility</h2> The Paykings Payment Gateway is safe to be installed on the D9 project."
commerceg_product_group;"The module is written directly on Drupal 9."
commerce_dellin;"As soon as Drupal Commerce Shipping will be ready."
commerce_exchanger_cryptocompare;"The code of this project is Drupal 9 ready!"
commerce_feefo;"This module should work with Drupal 9, but has not been tested."
commerce_findock;"Drupal 9 compatible."
commerce_rng;"Help port this project at [#3126897]"
commerce_tax_exemption;"This module will work with Drupal 9 out of the box."
commerce_wallee;"This module is Drupal 9 ready."
commerce_xero;"Should be compatible"
checklist_security;"This module is ready for D9"
city_weather_field;"This module will support Drupal 9."
ckeditor_dynamic_link;"CKEditor Dynamic Link supports Drupal 9"
colorbox_entity_display;"This module should be compatible with both Drupal 8 and 9, but has not been tested on Drupal 9 yet."
commerce_byjuno;"Drupal 9 Ready"
color_thief;"🎉This module was developed in Drupal 9 so should have no compatibility issues"
clear_field;"Clear Field Value version 8.x-1.1+ supports Drupal 9"
coder;"Coder does not need to be ported to Drupal 9 since it applies to all Drupal versions."
places_near_by;"Drupal 9 is here"
pixelsize;READY!
permalink_block;"Tested in Drupal 9 and confirmed to be fully functional."
personalized_paragraphs;"This module has not yet been tested on Drupal 9"
phpinsights;[#3086288]
presspatron;"Fully supported as of 8.x-1.0-beta1."
readonlydeployment;"Drupal 9 Ready"
protected_routes;"Not ready but planned."
prototype_select;"Works with Drupal 9"
pubble_field;"Fully supported as of 8.x-1.0-beta2."
onehub;"Drupal 9 is fully supported since version 8.x-1.0-beta1."
og_nonmember_editor;"Fully compatible as of 8.x-1.0-rc4."
node_visibility;"It should work on Drupal 9, but I haven't tested."
norwegian_id;"The maintainer will trying to keep the module D9 ready from the launch day. Please report any issues and follow the D9 port in this issue: [#3091443]"
oai_pmh_harvester;"Works on D9."
official_docs;"The 9.x branch is up-to-date for Drupal 9+"
orange_starter;"Drupal 9 ready!"
perfectmoney;"This module has been updated to work with the store on Drupal 9."
paydirectfpx;"<ol>  <li>Read more about this module at https://www.paydirect.my</li>  <li>If you got any problem, feel free to contact us at support@paydirect.my</li>  </ol>"
payeer;"This module has been updated to work with the store on Drupal 9."
oswald;"We plan to build this D8 and D9 safe"
package_field;"Drupal 9 compatible."
page_themes;"This module is ready for Drupal 9."
recaptcha_preloader;"Ready for Drupal 9"
simplenews_content_selection;[3097387]
simplenews_subscriber_filters;"written on Drupal 9."
simple_sitemap_auth;"Drupal 9 ready"
simple_tmgmt;"Is Drupal 9 compatible"
site_version_host;"Compatible with Drupal 9"
shifting_layout_blocks;"The module is Drupal 9 compatible."
service_comment_count_disqus;"The module is Drupal 9 compatible."
simple_datalayer_trigger;"For Drupal 9 compatibility, use any 2.0.x version or above. Ex: <code>composer require drupal/simple_datalayer_trigger:^2.0</code>"
sitewide_msg;"No Drupal 8/9 version is expected, we kindly asking you to point your attention to the similar module <a href=""https://www.drupal.org/project/site_alert"">Site Alert</a> and to consolidate efforts over there."
smssystem;"Used on several projects but need more review."
slack_rtm;"Drupal 9 is fully supported since version 8.x-1.0-alpha6."
smsru;"Ready to port in any time, no deperaction usage, will be ported as soon as possible."
smart_db_tools;"Compatible with Drupal 9."
risk;"This module is Drupal 9 ready."
robolytix;"Working well on Drupal 9."
request_logger;"Works the same on Drupal 8 and 9."
rollback;"No known issues with Drupal 9"
section_protection;"This module will be ported to Drupal 9 but has not currently been tested against Drupal 9.  For work related to this see this: <a href=""https://www.drupal.org/project/section_protection/issues/3207871"">[issue]</a>"
search_api_attachments_php;"This module was developed in D9."
rules_session_vars;"Supports 8.x and 9.x core."
node_randomizer;"This module is D9 compatible 🚀"
georef_ar;"Drupal 9 compatible!"
jsnlog;"Version 1.1 is tested against Drupal 9.1."
imotilux;[#3147806]
landbot;"This project supports Drupal 9."
lametric;"Drupal 9 is fully supported!"
jwt_block;"Works in Drupal 9"
keyvalue_filestore;"Nothing in this module is D8 specific. It should work fine in D9."
kiyoh_rating;"D9 Ready"
graphql_extras;"Is Drupal 9 compatible."
gophish;"Porting this project to Drupal 9 is currently on the roadmap."
gsuite;"Built with D9 in mind!"
git_version;"Compatible with Drupal 8 and 9"
id4me;"This module is Drupal 9 ready."
metals_api;"The version 9.x release of the Metals API module has been tested and is ready to go. I'll tag the 9.x release on the day Drupal 9 lands."
monolog_elasticsearch_date_processor;"This module is compatible with Drupal 9"
mpr;"Multi Peer Review has not been tested on Drupal 9 at the time of writing."
lock_layout_builder;"Ready to use."
log_everything;"Compatible with Drupal 9"
login_gauth;"Will Be released before August"
login_time_restriction;"Login Time Restriction is compatible with Drupal 9"
loki;"All versions of this module are fully Drupal 9 compatible."
liftigniter;"<p>LiftIgniter 8.x-1.x+ supports Drupal 9. Enjoy.</p>"
link_augment;"This module was built in Drupal 9. Please open an issue if you encounter any problems with Drupal 8 compatibility."
link_field_attributes;"Drupal 9 compatible"
linkit_entity_browser;"This module is Drupal 9 compatible"
media_file_delete;"Drupal 9 supported from day 1 😎"
media_placeholder;"Compatible with Drupal 9!"
media_twig_tools;"Media Twig Tools supports Drupal 9"
media_unique;"For similar functionality in D9,  <a href=""https://www.drupal.org/project/filehash"">please check the <strong>filehash</strong> module</a>"
lucidworksfusion;"This module has been coded to be compliant with Drupal 9."
